"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",152.549331971354,8.58697331395464,61.802236295061,91.224285527511,-51.4151232691907,156.051987475539,165.050284561409,140.230146617572,-493.306250253918,235.549366224784
"MA(2)",-33.1966682778898,181.460701386219,469.026885367577,118.432856949884,-683.884241572563,-392.907156720705,-310.727325059192,-307.005246734834,1488.36843750236,-202.488227686481
"Logistic",-315.257080036633,260.258567130388,422.940309549329,177.629805024278,-815.075604985594,-343.2189358005,-206.59349509004,-288.526323556753,1934.27060771254,-570.015503977511
"Sine",-2.07333701295594,81.4615517944158,304.488649063121,124.671307657558,-845.090089266696,-297.846387661892,-148.400202892374,-152.352634187809,1782.07744710721,64.3021438928977
"ARMA+Sine(w=0.1)",740.625080626256,-434.022382082455,-410.724447871235,-429.18495417152,-397.186317367729,-2.36861892525569,-140.76389966978,42.1131483413653,635.24534760349,1053.5674031816
"ARMA+Sine(w=0.2)",729.783069839063,-369.758951689857,-698.461893804083,-383.533395011259,42.8106818821872,441.334887383846,144.219119487836,373.335226818376,-333.747404992189,842.466427556391
"ARMA+Sine(w=0.3)",468.527420285872,-70.727800399143,-724.727747715715,36.1083931959192,-81.7411762285041,828.191643417059,554.145884312913,717.949135259746,-430.462738264394,475.876034891429
"AR2+Logistic(w=0.1)",-35.1790040303405,-182.920307856163,-135.147877306919,-110.263852863883,-102.663358492712,120.207606856541,75.3463315847246,140.691698087963,370.73720841934,218.696675326013
"AR2+Sine(w=0.8)",-50.9637768241106,234.95323011789,256.488570243956,-42.4084014257645,170.057657703059,-776.60649367259,-646.004095006427,-694.773795583354,-627.461503318033,-595.767994892995
"MA2+Logistic(w=0.2)",-263.345356359341,-487.217843772514,-630.799841300464,-438.119651582877,628.299167574794,301.219173378085,172.947169626271,227.944968079819,-995.069596655141,210.720675238912
"MA2+Logistic(w=0.7)",-206.234238040231,190.988670235691,515.873962855859,115.991000426796,-197.922788914631,-432.086055483347,-295.404122652609,-365.241261587472,616.664094786875,-355.951778614044
"MA2+Sine(w=0.4)",557.696833410013,-40.062129683239,-641.317361135292,263.601080235075,-535.144834944819,1070.6401741299,906.117998239494,971.945974404787,-447.234063217373,800.4601711897
"MA2+Sine(w=0.6)",3.99574731269036,115.800644483661,73.5561685551926,357.113522902408,-562.904339497267,514.736133843762,609.694630428066,450.395165908216,716.125393532378,218.594120144661
"MA2+Sine(w=0.8)",-181.835592555192,269.415124061934,692.085349988013,25.1251236955122,-864.204249813166,-974.548098514463,-860.665802939434,-788.018674035873,2164.14183628387,-641.309195218587
