"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",0.998713155771318,0.999912988839885,0.999337114009157,0.999141520840066,0.999837344140778,0.992924041446099,0.990934037966947,0.99324187316594,0.992008055094736,0.991108539594201
"MA(2)",0.997119362256475,0.98247874104347,0.967695675061035,0.986715540217766,0.991080678539956,0.97725559710226,0.979213685058226,0.979898848295647,0.763618924244753,0.988616110422227
"Logistic",0.971313876096606,0.959929595165356,0.933808123242013,0.978653648761265,0.988367202925424,0.910232000275026,0.937028668842067,0.932550307769009,0.946279071923634,0.911901158957721
"Sine",0,0,0,0,0,0,0,0,0,0
"ARMA+Sine(w=0.1)",0,0,0,0,0,0,0,0,0,0
"ARMA+Sine(w=0.2)",0.0224305151880928,0.0528884525758351,6.08764036957865e-06,0.0747531282634621,0.937419729644657,9.1646256583644e-08,0.0134560339112819,4.43205275924008e-06,0.10530366606834,1.10186726409722e-09
"ARMA+Sine(w=0.3)",0.142728582434037,0.711168443615883,2.68670888914357e-06,0.866766488610477,0.880835209817699,0,0,0,0.0367054876711057,0.00057698569151543
"AR2+Logistic(w=0.1)",0.996717044499972,0.973676631429446,0.979486671161717,0.986866045106656,0.998093138703194,0.964399477675613,0.973063035127178,0.9605391579297,0.983780857238328,0.958011473163686
"AR2+Sine(w=0.8)",0,0,0,0,0,0,0,0,0,0
"MA2+Logistic(w=0.2)",0.0173246384981955,1.61531905629175e-08,5.55111512312578e-15,4.4027269014979e-06,0.0919517766539482,0,0,0,0,1.16029408303575e-10
"MA2+Logistic(w=0.7)",0.987992481184107,0.981196830217955,0.970938612603799,0.987142680400119,0.997475794095925,0.978498968660857,0.982357773259623,0.979669557975507,0.950521152057474,0.983478906793473
"MA2+Sine(w=0.4)",0,0,0,0,0,0,0,0,0,0
"MA2+Sine(w=0.6)",0.99873172066433,0.994389310797096,0.997418317303401,0.971413200388545,0.997228394938887,0.980240477813646,0.972037600641725,0.980927961046927,0.961516311957638,0.992374708548166
"MA2+Sine(w=0.8)",0.988383905416011,0.973048190126586,0.964515012330739,0.994824871086445,0.986974480683013,0.969052680934617,0.968295753454071,0.971490281119384,0.937400602858266,0.979908110530915
